subject_id,valence_rho,valence_p,arousal_r,arousal_p,epochs_used
ZAB,0.0067145789119907135,0.8925751648868994,-0.031802824564891724,0.5223114746961641,407
ZDM,0.033757828487680164,0.49705071067964224,-0.055316684981688485,0.2655398898660312,407
ZDN,0.03417958107839064,0.4916875298184784,-0.13984539902386242,0.004705982332400604,407
ZGW,-0.19531336666928686,7.295259829834036e-05,-0.173608434841415,0.0004341577441156271,407
ZJM,0.0721251217745286,0.14636635046094487,-0.12391731501038317,0.012352923047997058,407
